Model,Threshold,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.5,0.09181141439205956,0.7184466019417476,0.1628162816281628,0.7750391202482947
Random Forest (Balanced),0.5,0.15602836879432624,0.21359223300970873,0.18032786885245902,0.7883183912716458
XGBoost (scale_pos_weight),0.5,0.14285714285714285,0.18446601941747573,0.16101694915254236,0.7452039872394506
RF + SMOTE,0.5,0.3076923076923077,0.11650485436893204,0.16901408450704225,0.7683259991873364
RF Balanced (Tuned),0.33999999999999986,0.13043478260869565,0.5533980582524272,0.2111111111111111,0.7883183912716458
XGBoost (Tuned),0.21999999999999995,0.09237536656891496,0.6116504854368932,0.16050955414012738,0.7452039872394506
RF + SMOTE (Tuned),0.18999999999999995,0.1065989847715736,0.6116504854368932,0.18155619596541786,0.7683259991873364
