Model,Precision,Recall,F1-Score,ROC-AUC
Baseline: Logistic Regression,0.09181141439205956,0.7184466019417476,0.1628162816281628,0.7750391202482947
RF Balanced (t=0.34),0.13043478260869565,0.5533980582524272,0.2111111111111111,0.7883183912716458
XGBoost (t=0.22),0.09237536656891496,0.6116504854368932,0.16050955414012738,0.7452039872394506
RF + SMOTE (t=0.19),0.1065989847715736,0.6116504854368932,0.18155619596541786,0.7683259991873364
RF RandomSearch (t=0.33),0.11851851851851852,0.6213592233009708,0.19906687402799378,0.7834510543014983
RF GridSearch (t=0.43),0.13004484304932734,0.5631067961165048,0.21129326047358835,0.7837406738192602
XGBoost Tuned (t=0.37),0.10675039246467818,0.6601941747572816,0.1837837837837838,0.7765088312339521
